id,value,name,image,type
SrBachchan,63958,Amitabh Bachchan,https://pbs.twimg.com/profile_images/768780297437450240/FJBOm5n8_normal.jpg,0
Twitter,9444,Twitter,https://pbs.twimg.com/profile_images/1092100446586630146/3uFY0wpD_normal.jpg,1
narendramodi,22590,Narendra Modi,https://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg,0
Harry_Styles,5490,Harry Styles.,https://pbs.twimg.com/profile_images/852489294102974465/4ew6HxaY_normal.jpg,0
selenagomez,4382,Selena Gomez,https://pbs.twimg.com/profile_images/1101106642031009792/dxOYm7sb_normal.png,0
JLo,14362,Jennifer Lopez,https://pbs.twimg.com/profile_images/1076519117635473409/zYGMeYLm_normal.jpg,0
ladygaga,8954,Lady Gaga,https://pbs.twimg.com/profile_images/1026810341336858626/Fp0qf9Mh_normal.jpg,0
taylorswift13,104,Taylor Swift,https://pbs.twimg.com/profile_images/900399601282424832/sNDnYYZe_normal.jpg,0
MileyCyrus,9772,Miley Ray Cyrus,https://pbs.twimg.com/profile_images/1098665512408571904/7UOgW1dv_normal.jpg,0
justinbieber,30489,Justin Bieber,https://pbs.twimg.com/profile_images/898295311893880832/bCps4HFV_normal.jpg,0
realmadrid,65748,Real Madrid C.F.⚽,https://pbs.twimg.com/profile_images/1053405468239020032/Cltq9Clq_normal.jpg,1
Cristiano,3359,Cristiano Ronaldo,https://pbs.twimg.com/profile_images/1095636734522601473/TDaTeEY__normal.png,0
shakira,6170,Shakira,https://pbs.twimg.com/profile_images/1043155752435834881/7MAR7MJO_normal.jpg,0
katyperry,9489,KATY PERRY,https://pbs.twimg.com/profile_images/1096031894041284609/Wb77WUdv_normal.jpg,0
onedirection,9882,One Direction,https://pbs.twimg.com/profile_images/665127003755032577/4y9RjRgE_normal.jpg,0
BeingSalmanKhan,42563,Salman Khan,https://pbs.twimg.com/profile_images/838562307/IMG00882-20100416-0034_normal.jpg,0
YouTube,23193,YouTube,https://pbs.twimg.com/profile_images/1013436760859299847/aQltRN9T_normal.jpg,1
Oprah,12619,Oprah Winfrey,https://pbs.twimg.com/profile_images/1013835283698049025/q5ZN4yv3_normal.jpg,0
Pink,7220,P!nk,https://pbs.twimg.com/profile_images/1097712556804849667/tOf3O601_normal.jpg,0
TheEllenShow,18881,Ellen DeGeneres,https://pbs.twimg.com/profile_images/1053330932906639362/9OfK5qOh_normal.jpg,0
KevinHart4real,38291,Kevin Hart,https://pbs.twimg.com/profile_images/839198522385793025/jPENEMJT_normal.jpg,0
BBCBreaking,35434,BBC Breaking News,https://pbs.twimg.com/profile_images/875701863957630977/KTviCCaU_normal.jpg,1
aliciakeys,7983,Alicia Keys,https://pbs.twimg.com/profile_images/1094661922211848193/KOruf6r3_normal.jpg,0
cnnbrk,65150,CNN Breaking News,https://pbs.twimg.com/profile_images/925092227667304448/fAY1HUu3_normal.jpg,0
Louis_Tomlinson,6659,Louis Tomlinson,https://pbs.twimg.com/profile_images/1100817714308894722/6DYRHunt_normal.png,0
BarackObama,15595,Barack Obama,https://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg,0
SportsCenter,108129,SportsCenter,https://pbs.twimg.com/profile_images/1062155885911425024/EMf90GZI_normal.jpg,1
espn,100531,ESPN,https://pbs.twimg.com/profile_images/1027403255607746560/dIyhrGOz_normal.jpg,1
LilTunechi,2000,Lil Wayne WEEZY F,https://pbs.twimg.com/profile_images/1044693697533804546/Z2MiD-wP_normal.jpg,0
britneyspears,5638,Britney Spears,https://pbs.twimg.com/profile_images/1081235040695009281/P0mr7PUX_normal.jpg,0
iamsrk,57661,Shah Rukh Khan,https://pbs.twimg.com/profile_images/661679664/keep_it_onn_normal.jpg,0
rihanna,10246,Rihanna,https://pbs.twimg.com/profile_images/994789370237419520/Cf9VT8_L_normal.jpg,0
akshaykumar,39310,Akshay Kumar,https://pbs.twimg.com/profile_images/1085067824840822785/ychTUtB8_normal.jpg,0
KimKardashian,28955,Kim Kardashian West,https://pbs.twimg.com/profile_images/1044786302443372544/3bIbMHgS_normal.jpg,0
realDonaldTrump,40836,Donald J. Trump,https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,0
ArianaGrande,44313,Ariana Grande,https://pbs.twimg.com/profile_images/1105229330400112641/yOA4JQMo_normal.jpg,0
BillGates,2989,Bill Gates,https://pbs.twimg.com/profile_images/988775660163252226/XpgonN0X_normal.jpg,0
jtimberlake,4063,Justin Timberlake,https://pbs.twimg.com/profile_images/1046895903095820289/9iU-AMuM_normal.jpg,0
wizkhalifa,44773,Wiz Khalifa,https://pbs.twimg.com/profile_images/1096059773055754240/-75Pg33r_normal.jpg,0
Drake,1723,Drizzy,https://pbs.twimg.com/profile_images/563843814725402624/Vb8k670S_normal.png,0
instagram,12334,Instagram,https://pbs.twimg.com/profile_images/786681705981673472/T5OKNZ1-_normal.jpg,1
LiamPayne,10759,Liam,https://pbs.twimg.com/profile_images/1070007978798039041/fu0D2fWe_normal.jpg,0
jimmyfallon,11690,jimmy fallon,https://pbs.twimg.com/profile_images/890035968656396288/nQU6aYAs_normal.jpg,0
neymarjr,41441,Neymar Jr,https://pbs.twimg.com/profile_images/1024824376406024192/XWNBgfCX_normal.jpg,0
NiallOfficial,13248,Niall Horan,https://pbs.twimg.com/profile_images/986727161179484161/CMLiA88K_normal.jpg,0
NASA,55132,NASA,https://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,1
